ONS_code,year,veh_total
E06000001,2009,35100
E06000001,2010,34900
E06000001,2011,35100
E06000001,2012,35500
E06000001,2013,36100
E06000001,2014,36600
E06000001,2015,37300
E06000001,2016,38100
E06000001,2017,38600
E06000001,2018,39400
E06000001,2019,40200
E06000001,2020,40400
E06000001,2021,40500
E06000001,2022,40700
E06000001,2023,41600
E06000001,2024,42300
E06000001,2025,42700
E06000002,2009,50000
E06000002,2010,49600
E06000002,2011,49300
E06000002,2012,49300
E06000002,2013,49700
E06000002,2014,50800
E06000002,2015,51900
E06000002,2016,53000
E06000002,2017,53500
E06000002,2018,54300
E06000002,2019,55700
E06000002,2020,56200
E06000002,2021,57100
E06000002,2022,58500
E06000002,2023,60200
E06000002,2024,61700
E06000002,2025,62600
E06000003,2009,59900
E06000003,2010,59900
E06000003,2011,59800
E06000003,2012,60200
E06000003,2013,61000
E06000003,2014,61600
E06000003,2015,62000
E06000003,2016,62900
E06000003,2017,63500
E06000003,2018,64400
E06000003,2019,65600
E06000003,2020,65700
E06000003,2021,65600
E06000003,2022,65800
E06000003,2023,66500
E06000003,2024,67300
E06000003,2025,68100
E06000004,2009,85400
E06000004,2010,85200
E06000004,2011,84400
E06000004,2012,84800
E06000004,2013,85900
E06000004,2014,87100
E06000004,2015,88000
E06000004,2016,89500
E06000004,2017,90500
E06000004,2018,91300
E06000004,2019,92600
E06000004,2020,92700
E06000004,2021,93200
E06000004,2022,93800
E06000004,2023,95400
E06000004,2024,96400
E06000004,2025,98100
E06000005,2009,44800
E06000005,2010,44700
E06000005,2011,49000
E06000005,2012,48700
E06000005,2013,49800
E06000005,2014,50400
E06000005,2015,50600
E06000005,2016,50800
E06000005,2017,50900
E06000005,2018,50800
E06000005,2019,51300
E06000005,2020,51300
E06000005,2021,56300
E06000005,2022,62300
E06000005,2023,60600
E06000005,2024,58800
E06000005,2025,60300
E06000006,2009,56000
E06000006,2010,56300
E06000006,2011,56400
E06000006,2012,56900
E06000006,2013,57400
E06000006,2014,58000
E06000006,2015,58400
E06000006,2016,59400
E06000006,2017,60900
E06000006,2018,62000
E06000006,2019,62900
E06000006,2020,63100
E06000006,2021,63000
E06000006,2022,63500
E06000006,2023,64500
E06000006,2024,65400
E06000006,2025,66300
E06000007,2009,98900
E06000007,2010,99600
E06000007,2011,100200
E06000007,2012,100800
E06000007,2013,102200
E06000007,2014,103900
E06000007,2015,105100
E06000007,2016,107400
E06000007,2017,108200
E06000007,2018,109100
E06000007,2019,110700
E06000007,2020,110300
E06000007,2021,110100
E06000007,2022,111200
E06000007,2023,112800
E06000007,2024,114000
E06000007,2025,115000
E06000008,2009,57900
E06000008,2010,57200
E06000008,2011,55400
E06000008,2012,54200
E06000008,2013,54200
E06000008,2014,55000
E06000008,2015,55900
E06000008,2016,57100
E06000008,2017,58100
E06000008,2018,58900
E06000008,2019,60500
E06000008,2020,61100
E06000008,2021,61600
E06000008,2022,62800
E06000008,2023,64200
E06000008,2024,65600
E06000008,2025,67100
E06000009,2009,55300
E06000009,2010,54800
E06000009,2011,54200
E06000009,2012,54000
E06000009,2013,54100
E06000009,2014,54400
E06000009,2015,55100
E06000009,2016,55900
E06000009,2017,56300
E06000009,2018,56700
E06000009,2019,57400
E06000009,2020,57600
E06000009,2021,57800
E06000009,2022,57700
E06000009,2023,58000
E06000009,2024,58500
E06000009,2025,59200
E06000010,2009,83500
E06000010,2010,83500
E06000010,2011,82400
E06000010,2012,82600
E06000010,2013,83600
E06000010,2014,85400
E06000010,2015,88000
E06000010,2016,91100
E06000010,2017,92800
E06000010,2018,94100
E06000010,2019,95600
E06000010,2020,96200
E06000010,2021,96700
E06000010,2022,97900
E06000010,2023,99500
E06000010,2024,101300
E06000010,2025,103900
E06000011,2009,168300
E06000011,2010,168800
E06000011,2011,169600
E06000011,2012,170600
E06000011,2013,172200
E06000011,2014,173700
E06000011,2015,175400
E06000011,2016,178600
E06000011,2017,180700
E06000011,2018,182800
E06000011,2019,185800
E06000011,2020,186200
E06000011,2021,187600
E06000011,2022,189100
E06000011,2023,191200
E06000011,2024,193700
E06000011,2025,196300
E06000012,2009,64700
E06000012,2010,64300
E06000012,2011,64200
E06000012,2012,64600
E06000012,2013,65000
E06000012,2014,65800
E06000012,2015,67000
E06000012,2016,68800
E06000012,2017,70000
E06000012,2018,70600
E06000012,2019,71300
E06000012,2020,71400
E06000012,2021,71700
E06000012,2022,72400
E06000012,2023,73000
E06000012,2024,74100
E06000012,2025,75000
E06000013,2009,80000
E06000013,2010,79900
E06000013,2011,80000
E06000013,2012,80600
E06000013,2013,81500
E06000013,2014,82800
E06000013,2015,83800
E06000013,2016,85900
E06000013,2017,86700
E06000013,2018,87600
E06000013,2019,88900
E06000013,2020,88800
E06000013,2021,88800
