ONS_code,year,veh_bev,veh_ulev_total
E06000001,2011,5,7
E06000001,2012,7,9
E06000001,2013,6,8
E06000001,2014,10,16
E06000001,2015,15,23
E06000001,2016,21,40
E06000001,2017,32,62
E06000001,2018,36,78
E06000001,2019,47,103
E06000001,2020,75,142
E06000001,2021,164,281
E06000001,2022,289,468
E06000001,2023,430,662
E06000001,2024,705,1028
E06000001,2025,1034,1482
E06000002,2011,2,2
E06000002,2012,4,4
E06000002,2013,9,9
E06000002,2014,16,22
E06000002,2015,23,41
E06000002,2016,20,46
E06000002,2017,21,46
E06000002,2018,29,64
E06000002,2019,38,87
E06000002,2020,75,159
E06000002,2021,160,298
E06000002,2022,318,513
E06000002,2023,516,822
E06000002,2024,913,1430
E06000002,2025,1353,2114
E06000003,2011,3,3
E06000003,2012,2,3
E06000003,2013,5,6
E06000003,2014,12,17
E06000003,2015,26,35
E06000003,2016,26,38
E06000003,2017,37,67
E06000003,2018,39,84
E06000003,2019,62,118
E06000003,2020,102,191
E06000003,2021,277,424
E06000003,2022,457,681
E06000003,2023,714,1007
E06000003,2024,1087,1513
E06000003,2025,1461,2065
E06000004,2011,28,28
E06000004,2012,27,30
E06000004,2013,27,33
E06000004,2014,39,51
E06000004,2015,56,89
E06000004,2016,64,119
E06000004,2017,75,159
E06000004,2018,83,223
E06000004,2019,117,254
E06000004,2020,215,422
E06000004,2021,458,810
E06000004,2022,834,1334
E06000004,2023,1351,2062
E06000004,2024,2108,3101
E06000004,2025,2937,4341
E06000005,2011,8,8
E06000005,2012,8,8
E06000005,2013,12,15
E06000005,2014,21,30
E06000005,2015,22,49
E06000005,2016,53,102
E06000005,2017,81,156
E06000005,2018,90,179
E06000005,2019,132,238
E06000005,2020,199,345
E06000005,2021,556,832
E06000005,2022,1086,1522
E06000005,2023,1979,2436
E06000005,2024,3457,4135
E06000005,2025,4263,5113
E06000006,2011,14,14
E06000006,2012,14,14
E06000006,2013,27,29
E06000006,2014,36,43
E06000006,2015,50,78
E06000006,2016,70,106
E06000006,2017,74,133
E06000006,2018,88,175
E06000006,2019,121,227
E06000006,2020,236,383
E06000006,2021,596,833
E06000006,2022,1091,1418
E06000006,2023,1951,2396
E06000006,2024,2828,3489
E06000006,2025,3663,4613
E06000007,2011,5,6
E06000007,2012,11,16
E06000007,2013,20,29
E06000007,2014,39,59
E06000007,2015,98,140
E06000007,2016,119,206
E06000007,2017,172,316
E06000007,2018,200,391
E06000007,2019,282,563
E06000007,2020,445,918
E06000007,2021,851,1506
E06000007,2022,1322,2223
E06000007,2023,2189,3425
E06000007,2024,3443,5141
E06000007,2025,4625,6859
E06000008,2011,4,4
E06000008,2012,7,7
E06000008,2013,12,12
E06000008,2014,18,26
E06000008,2015,28,52
E06000008,2016,43,82
E06000008,2017,57,112
E06000008,2018,64,156
E06000008,2019,87,214
E06000008,2020,172,363
E06000008,2021,306,618
E06000008,2022,538,1084
E06000008,2023,884,1685
E06000008,2024,1385,2653
E06000008,2025,1929,3599
E06000009,2011,4,4
E06000009,2012,9,11
E06000009,2013,11,11
E06000009,2014,12,15
E06000009,2015,68,82
E06000009,2016,106,124
E06000009,2017,128,157
E06000009,2018,144,190
E06000009,2019,181,256
E06000009,2020,213,322
E06000009,2021,310,506
E06000009,2022,470,776
E06000009,2023,664,1128
E06000009,2024,1009,1641
E06000009,2025,1371,2162
E06000010,2011,13,13
E06000010,2012,17,18
E06000010,2013,24,27
E06000010,2014,22,30
E06000010,2015,35,61
E06000010,2016,53,108
E06000010,2017,66,152
E06000010,2018,76,187
E06000010,2019,94,246
E06000010,2020,170,367
E06000010,2021,358,662
E06000010,2022,564,1008
E06000010,2023,971,1585
E06000010,2024,1675,2567
E06000010,2025,2398,3675
E06000011,2011,16,16
E06000011,2012,11,12
E06000011,2013,20,24
E06000011,2014,40,70
E06000011,2015,65,141
E06000011,2016,85,241
E06000011,2017,124,345
E06000011,2018,173,499
E06000011,2019,259,702
E06000011,2020,476,1096
E06000011,2021,1007,2026
E06000011,2022,1728,3138
E06000011,2023,2698,4587
E06000011,2024,4145,6781
E06000011,2025,5759,9242
E06000012,2011,9,9
E06000012,2012,12,13
E06000012,2013,11,13
E06000012,2014,9,19
E06000012,2015,18,37
E06000012,2016,32,70
E06000012,2017,64,133
E06000012,2018,85,178
E06000012,2019,100,216
E06000012,2020,156,333
E06000012,2021,360,636
E06000012,2022,562,941
E06000012,2023,854,1399
E06000012,2024,1283,2079
E06000012,2025,1769,2861
E06000013,2011,15,16
E06000013,2012,11,12
E06000013,2013,20,22
E06000013,2014,19,55
E06000013,2015,27,60
E06000013,2016,32,96
E06000013,2017,55,156
E06000013,2018,62,202
E06000013,2019,98,268
E06000013,2020,180,428
E06000013,2021,404,828
E06000013,2022,701,1284
E06000013,2023,1132,1941
E06000013,2024,1751,2912
E06000013,2025,2408,3955
E06000014,2011,64,67
E06000014,2012,64,69
E06000014,2013,66,72
E06000014,2014,29,38
E06000014,2015,54,80
E06000014,2016,75,136
E06000014,2017,96,219
E06000014,2018,130,328
E06000014,2019,177,436
E06000014,2020,391,771
E06000014,2021,660,1300
E06000014,2022,1145,1883
E06000014,2023,1672,2641
E06000014,2024,2333,3672
E06000014,2025,3036,4894
E06000015,2011,21,21
E06000015,2012,26,28
E06000015,2013,33,38
E06000015,2014,43,70
E06000015,2015,72,186
E06000015,2016,119,415
E06000015,2017,156,739
E06000015,2018,187,1074
E06000015,2019,321,1438
E06000015,2020,651,1882
E06000015,2021,1114,2716
E06000015,2022,1721,3645
E06000015,2023,2723,5239
E06000015,2024,3910,7187
E06000015,2025,5464,9805
E06000016,2011,167,169
E06000016,2012,170,175
E06000016,2013,151,162
E06000016,2014,75,101
E06000016,2015,114,159
E06000016,2016,116,258
E06000016,2017,130,507
E06000016,2018,156,719
E06000016,2019,216,844
E06000016,2020,393,973
E06000016,2021,609,2257
E06000016,2022,1249,2876
E06000016,2023,3004,7683
E06000016,2024,3675,10089
E06000016,2025,3691,7380
E06000017,2011,7,7
E06000017,2012,6,8
E06000017,2013,4,6
E06000017,2014,7,16
E06000017,2015,14,32
E06000017,2016,18,50
E06000017,2017,26,81
E06000017,2018,40,116
E06000017,2019,62,164
E06000017,2020,116,247
E06000017,2021,201,395
E06000017,2022,339,616
E06000017,2023,459,804
E06000017,2024,610,1084
E06000017,2025,785,1337
E06000018,2011,25,25
E06000018,2012,33,38
E06000018,2013,41,48
E06000018,2014,84,103
E06000018,2015,106,148
E06000018,2016,165,272
E06000018,2017,233,398
E06000018,2018,264,503
E06000018,2019,386,716
E06000018,2020,552,999
E06000018,2021,812,1483
E06000018,2022,1195,2038
E06000018,2023,1783,2946
E06000018,2024,2589,4222
E06000018,2025,3294,5415
E06000019,2011,22,22
E06000019,2012,26,27
E06000019,2013,28,34
E06000019,2014,38,61
E06000019,2015,64,122
E06000019,2016,90,192
E06000019,2017,131,317
E06000019,2018,176,448
E06000019,2019,298,670
E06000019,2020,503,1003
E06000019,2021,851,1523
E06000019,2022,1299,2179
E06000019,2023,1781,2881
E06000019,2024,2408,3834
E06000019,2025,3042,4845
E06000020,2011,9,9
E06000020,2012,10,12
E06000020,2013,15,19
E06000020,2014,24,37
E06000020,2015,48,71
E06000020,2016,71,133
E06000020,2017,77,171
E06000020,2018,107,249
E06000020,2019,137,318
E06000020,2020,362,659
E06000020,2021,1193,1651
E06000020,2022,1539,2168
E06000020,2023,1501,2319
E06000020,2024,2326,3567
E06000020,2025,3389,5184
E06000021,2011,13,13
E06000021,2012,12,13
E06000021,2013,23,24
E06000021,2014,35,54
E06000021,2015,49,108
E06000021,2016,62,176
E06000021,2017,88,237
E06000021,2018,119,353
E06000021,2019,150,373
E06000021,2020,275,599
E06000021,2021,661,1183
E06000021,2022,929,1660
E06000021,2023,1385,2476
E06000021,2024,2432,3987
E06000021,2025,2913,4884
E06000022,2011,15,16
E06000022,2012,12,16
E06000022,2013,15,18
E06000022,2014,35,51
E06000022,2015,56,95
E06000022,2016,95,191
E06000022,2017,167,330
E06000022,2018,239,488
E06000022,2019,429,834
E06000022,2020,679,1248
E06000022,2021,1178,1997
E06000022,2022,1636,2679
E06000022,2023,2188,3471
E06000022,2024,2772,4343
E06000022,2025,3409,5238
E06000023,2011,26,28
E06000023,2012,36,62
E06000023,2013,48,105
E06000023,2014,116,216
E06000023,2015,164,363
E06000023,2016,204,702
E06000023,2017,255,489
E06000023,2018,369,757
E06000023,2019,612,1222
E06000023,2020,1100,2002
E06000023,2021,1704,2943
E06000023,2022,2442,4057
E06000023,2023,3535,5489
E06000023,2024,4919,7371
E06000023,2025,5688,8687
E06000024,2011,21,21
E06000024,2012,25,28
E06000024,2013,37,40
E06000024,2014,43,70
E06000024,2015,74,146
E06000024,2016,149,280
E06000024,2017,214,411
