ONS_code,ONS_geo,Geo_level,Country,Region,p_uk,p_gb,p_cty
K02000001,United Kingdom,National,,,United Kingdom,,
K03000001,Great Britain,National,,,United Kingdom,,
E92000001,England,Country,England,England,United Kingdom,Great Britain,
E12000001,North East,Region,England,North East,United Kingdom,Great Britain,North East
E06000047,County Durham,LAD,England,North East,United Kingdom,Great Britain,North East
E06000005,Darlington,LAD,England,North East,United Kingdom,Great Britain,North East
E06000001,Hartlepool,LAD,England,North East,United Kingdom,Great Britain,North East
E06000002,Middlesbrough,LAD,England,North East,United Kingdom,Great Britain,North East
E06000057,Northumberland,LAD,England,North East,United Kingdom,Great Britain,North East
E06000003,Redcar and Cleveland,LAD,England,North East,United Kingdom,Great Britain,North East
E06000004,Stockton-on-Tees,LAD,England,North East,United Kingdom,Great Britain,North East
E11000007,Tyne and Wear (Metropolitan County),County,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E08000037,Gateshead,LAD,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E08000021,Newcastle upon Tyne,LAD,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E08000022,North Tyneside,LAD,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E08000023,South Tyneside,LAD,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E08000024,Sunderland,LAD,England,North East,United Kingdom,Great Britain,Tyne and Wear (Metropolitan County)
E12000002,North West,Region,England,North West,United Kingdom,Great Britain,North West
E06000008,Blackburn with Darwen,LAD,England,North West,United Kingdom,Great Britain,North West
E06000009,Blackpool,LAD,England,North West,United Kingdom,Great Britain,North West
E06000049,Cheshire East,LAD,England,North West,United Kingdom,Great Britain,North West
E06000050,Cheshire West and Chester,LAD,England,North West,United Kingdom,Great Britain,North West
E06000063,Cumberland (from April 2023),LAD,England,North West,United Kingdom,Great Britain,North West
E06000006,Halton,LAD,England,North West,United Kingdom,Great Britain,North West
E06000007,Warrington,LAD,England,North West,United Kingdom,Great Britain,North West
E06000064,Westmorland and Furness (from April 2023),LAD,England,North West,United Kingdom,Great Britain,North West
E10000006,Cumbria (abolished April 2023),County,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000026,Allerdale (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000027,Barrow-in-Furness (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000028,Carlisle (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000029,Copeland (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000030,Eden (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
E07000031,South Lakeland (abolished April 2023),LAD,England,North West,United Kingdom,Great Britain,Cumbria (abolished April 2023)
