ons_code,year,pop_value
E06000001,2011,92088
E06000001,2012,92344
E06000001,2013,92465
E06000001,2014,92358
E06000001,2015,92125
E06000001,2016,92260
E06000001,2017,92306
E06000001,2018,92288
E06000001,2019,92401
E06000001,2020,92202
E06000001,2021,92575
E06000001,2022,94161
E06000001,2023,95942
E06000001,2024,98180
E06000002,2011,138368
E06000002,2012,138472
E06000002,2013,138588
E06000002,2014,139030
E06000002,2015,139602
E06000002,2016,140649
E06000002,2017,141213
E06000002,2018,141057
E06000002,2019,142134
E06000002,2020,142459
E06000002,2021,143943
E06000002,2022,149339
E06000002,2023,153639
E06000002,2024,156161
E06000003,2011,135164
E06000003,2012,134951
E06000003,2013,134838
E06000003,2014,135106
E06000003,2015,135370
E06000003,2016,135344
E06000003,2017,135584
E06000003,2018,136276
E06000003,2019,136699
E06000003,2020,136571
E06000003,2021,136605
E06000003,2022,137233
E06000003,2023,138115
E06000003,2024,139228
E06000004,2011,191824
E06000004,2012,192837
E06000004,2013,193923
E06000004,2014,195113
E06000004,2015,195790
E06000004,2016,196412
E06000004,2017,197046
E06000004,2018,197509
E06000004,2019,196860
E06000004,2020,196388
E06000004,2021,197032
E06000004,2022,200753
E06000004,2023,203768
E06000004,2024,206800
E06000005,2011,105584
E06000005,2012,105557
E06000005,2013,105591
E06000005,2014,105825
E06000005,2015,105988
E06000005,2016,106258
E06000005,2017,106541
E06000005,2018,106411
E06000005,2019,106532
E06000005,2020,106827
E06000005,2021,108210
E06000005,2022,109461
E06000005,2023,110925
E06000005,2024,112489
E06000006,2011,125722
E06000006,2012,125596
E06000006,2013,125889
E06000006,2014,126335
E06000006,2015,126464
E06000006,2016,126851
E06000006,2017,127038
E06000006,2018,127873
E06000006,2019,128456
E06000006,2020,128508
E06000006,2021,128570
E06000006,2022,129449
E06000006,2023,130384
E06000006,2024,131543
E06000007,2011,202709
E06000007,2012,203914
E06000007,2013,205905
E06000007,2014,208056
E06000007,2015,209575
E06000007,2016,210873
E06000007,2017,212137
E06000007,2018,212008
E06000007,2019,212245
E06000007,2020,211627
E06000007,2021,211182
E06000007,2022,211756
E06000007,2023,213598
E06000007,2024,215391
E06000008,2011,147657
E06000008,2012,148532
E06000008,2013,149148
E06000008,2014,149579
E06000008,2015,150490
E06000008,2016,151497
E06000008,2017,152312
E06000008,2018,152787
E06000008,2019,154066
E06000008,2020,154564
E06000008,2021,154954
E06000008,2022,156268
E06000008,2023,159189
E06000008,2024,162540
E06000009,2011,142080
E06000009,2012,142565
E06000009,2013,142733
E06000009,2014,142253
E06000009,2015,141788
