ONS_geo,ONS_code,Region,ev_penetration,lag1_ports_per_10k_pop,lag1_gdhi_per_head,SHAP_Ports_Contribution,SHAP_Wealth_Contribution
Westminster,E09000033,London,35.77,553.6,71011.0,23.46587,5.5487676
Kensington and Chelsea,E09000020,London,11.58,416.9,98459.0,9.99585,5.012765
City of London,E09000001,London,30.21,521.1,144079.0,9.872087,4.6519437
Hammersmith and Fulham,E09000013,London,17.36,356.3,46050.0,9.560313,3.8593018
Stirling,S12000030,Scotland,17.29,131.8,23019.0,7.5650935,2.8528624
Slough,E06000039,South East,29.88,52.1,19784.0,7.3731565,6.4044256
Milton Keynes,E06000042,South East,17.92,162.1,22648.0,5.190555,1.5604696
Stockport,E08000007,North West,36.1,15.6,22954.0,4.1685424,7.3627954
Chesterfield,E07000034,East Midlands,14.38,61.0,18658.0,3.9310927,2.509866
Windsor and Maidenhead,E06000040,South East,27.3,45.0,34153.0,3.5169063,7.7322664
Camden,E09000007,London,11.68,135.6,56704.0,3.4389133,3.2445726
Brent,E09000005,London,8.57,169.3,27396.0,3.3471017,0.011607915
Orkney Islands,S12000023,Scotland,4.98,214.3,20250.0,3.3098252,-0.82836753
Leeds,E08000035,Yorkshire and the Humber,13.15,52.3,20073.0,3.20865,0.7452839
Southwark,E09000028,London,8.89,213.4,32460.0,2.684236,1.5139992
Hounslow,E09000018,London,5.8,161.2,26484.0,2.5942473,-0.69135547
Wandsworth,E09000032,London,7.13,264.8,43967.0,2.5786757,1.7874265
East Lothian,S12000010,Scotland,3.36,160.3,23583.0,2.5355227,-0.63256085
Brighton and Hove,E06000043,South East,3.51,121.0,26701.0,2.5300002,-0.8491624
Richmond upon Thames,E09000027,London,7.99,239.2,45042.0,2.436591,2.1199331
Coventry,E08000026,West Midlands,3.39,183.2,17851.0,2.426278,-1.396004
Harborough,E07000131,East Midlands,6.56,52.3,25861.0,2.2981591,-0.7152872
Waltham Forest,E09000031,London,4.85,121.0,25739.0,2.1957607,-0.34602383
Hackney,E09000012,London,6.73,140.6,31800.0,2.0480888,1.0644192
Portsmouth,E06000044,South East,14.21,47.5,19504.0,2.0370505,2.6439083
Rushcliffe,E07000176,East Midlands,4.14,51.9,25806.0,1.9699931,-0.7207035
Islington,E09000019,London,9.27,154.8,38732.0,1.9056602,1.6210405
North Lanarkshire,S12000050,Scotland,2.23,52.2,18434.0,1.6468751,0.040720493
Tower Hamlets,E09000030,London,10.0,87.4,29613.0,1.6135567,1.3686601
Merton,E09000024,London,7.19,126.4,33938.0,1.5868267,1.7548504
Ealing,E09000009,London,8.54,88.7,28014.0,1.5441141,0.6278251
Exeter,E07000041,South West,6.52,78.0,19123.0,1.4329873,0.88781935
Solihull,E08000029,West Midlands,11.3,64.8,24444.0,1.4253765,0.6783859
Nottingham,E06000018,East Midlands,2.89,60.5,15562.0,1.4235213,-1.0153863
Cambridge,E07000008,East of England,5.5,60.8,23953.0,1.3718579,0.38691664
Bolsover,E07000033,East Midlands,2.38,55.3,17755.0,1.269656,0.59424067
Cherwell,E07000177,South East,5.64,90.9,24889.0,1.2043287,-0.9773613
Elmbridge,E07000207,South East,6.28,45.9,44287.0,1.1683264,2.295077
Hillingdon,E09000017,London,10.52,60.8,23911.0,1.0567814,-0.05123764
Oxford,E07000178,South East,4.62,93.0,23204.0,1.0435795,-1.2013487
West Devon,E07000047,South West,2.2,51.7,22260.0,0.8909901,-0.732224
Kingston upon Thames,E09000021,London,5.74,89.3,31230.0,0.86303544,0.74749726
Rushmoor,E07000092,South East,6.56,40.3,21139.0,0.7776478,-0.10795627
Runnymede,E07000212,South East,4.05,45.4,29220.0,0.6983392,-0.06372568
Winchester,E07000094,South East,4.48,99.3,29566.0,0.6911919,0.027920827
Isles of Scilly,E06000053,South West,7.33,0.0,23228.0,0.6906554,0.47310543
Vale of White Horse,E07000180,South East,4.06,64.5,26993.0,0.6833657,-0.61221325
Reading,E06000038,South East,3.12,71.7,23145.0,0.67922914,-1.2749085
Barnet,E09000003,London,7.5,82.7,33473.0,0.6559672,1.9148341
Spelthorne,E07000213,South East,3.31,53.1,26366.0,0.64675325,-0.8267676
Newport,W06000022,Wales,2.19,46.0,17995.0,0.61412424,0.10145159
Dundee City,S12000042,Scotland,2.87,92.7,17667.0,0.6091695,-0.092675515
Watford,E07000103,East of England,4.16,71.4,24050.0,0.60440177,0.29950857
Welwyn Hatfield,E07000241,East of England,4.05,90.4,25373.0,0.5673996,0.5107198
Warrington,E06000007,North West,3.04,53.0,22238.0,0.5501987,-0.64768887
New Forest,E07000091,South East,2.88,57.3,26179.0,0.5272531,-1.3183309
Gwynedd,W06000002,Wales,1.53,91.9,18167.0,0.5198927,-0.21847676
Stratford-on-Avon,E07000221,West Midlands,4.05,79.3,29541.0,0.50529355,0.86949617
Wokingham,E06000041,South East,4.3,62.1,28456.0,0.494561,-0.74238986
Croydon,E09000008,London,4.64,63.6,25146.0,0.4775235,0.00963657
Pembrokeshire,W06000009,Wales,1.84,99.4,19088.0,0.4688151,0.19435777
Sutton,E09000029,London,4.43,76.1,25284.0,0.46485946,-0.2033074
Renfrewshire,S12000038,Scotland,12.75,41.8,18891.0,0.46137398,-0.109855704
Basildon,E07000066,East of England,4.67,33.6,22484.0,0.45664737,-0.062360294
Cotswold,E07000079,South West,3.73,93.1,33449.0,0.45056736,1.085392
Guildford,E07000209,South East,4.57,54.5,32809.0,0.44217092,4.30101
Fife,S12000047,Scotland,2.38,39.3,20026.0,0.43802923,-0.23963216
Highland,S12000017,Scotland,2.21,116.4,21430.0,0.43103617,-0.25358853
Greenwich,E09000011,London,4.54,95.1,26382.0,0.4306102,-0.21757387
Warwick,E07000222,West Midlands,3.85,62.1,26104.0,0.42341143,0.2691026
Falkirk,S12000014,Scotland,2.41,36.1,19810.0,0.42124736,2.5651455
Lambeth,E09000022,London,5.58,104.1,32953.0,0.40207195,1.519178
Lancaster,E07000121,North West,2.3,62.8,18452.0,0.3952498,0.11493511
Argyll & Bute,S12000035,Scotland,2.33,117.1,21304.0,0.39373153,-0.20176075
Rutland,E06000017,East Midlands,3.48,54.4,26581.0,0.3916969,0.040098708
West Berkshire,E06000037,South East,3.87,83.3,28978.0,0.3915269,-1.2108535
Huntingdonshire,E07000011,East of England,4.12,32.4,22554.0,0.37535882,-0.2809377
Three Rivers,E07000102,East of England,4.88,45.8,32630.0,0.37221128,1.9829932
Norwich,E07000148,East of England,2.33,59.8,17940.0,0.36713904,-0.09720881
Bedford,E06000055,East of England,3.21,65.8,22533.0,0.3612496,-0.23541576
Dartford,E07000107,South East,3.86,73.7,22843.0,0.3520678,0.28079286
Bromsgrove,E07000234,West Midlands,3.71,56.7,25782.0,0.3475858,0.1754949
York [Note 13],E06000014,Yorkshire and the Humber,3.12,71.1,21955.0,0.33836266,-0.22510862
Chichester,E07000225,South East,3.35,56.0,28982.0,0.33659828,-0.34273857
Crawley,E07000226,South East,2.64,50.7,20160.0,0.33164644,-0.36999166
Hertsmere,E07000098,East of England,5.7,39.8,33911.0,0.33076206,2.4745376
East Ayrshire,S12000008,Scotland,2.04,59.2,18931.0,0.3179774,0.014582446
Folkestone and Hythe,E07000112,South East,2.31,78.5,22574.0,0.31433168,-0.72768605
Midlothian,S12000019,Scotland,3.18,70.9,21466.0,0.3120405,-0.2364659
Sunderland,E08000024,North East,1.88,55.8,17402.0,0.31075314,-0.4296738
West Dunbartonshire,S12000039,Scotland,2.12,40.8,17255.0,0.30017045,-0.47326192
Blaenau Gwent,W06000019,Wales,1.05,45.7,15543.0,0.29983595,-0.5652491
Conwy,W06000003,Wales,2.01,45.7,19883.0,0.29181907,-0.0069325287
Clackmannanshire,S12000005,Scotland,2.06,56.5,19614.0,0.28815112,0.18062457
Newcastle upon Tyne,E08000021,North East,2.81,47.6,18257.0,0.27408704,-0.04206643
Na h-Eileanan Siar,S12000013,Scotland,1.53,109.4,20968.0,0.2689278,-0.16429046
Rugby,E07000220,West Midlands,3.04,66.0,21327.0,0.26754254,-0.34154892
Darlington,E06000005,North East,4.02,50.3,19099.0,0.26606622,0.39240777
South Cambridgeshire,E07000012,East of England,4.59,53.4,28333.0,0.25890884,0.44641653
Powys,W06000023,Wales,1.92,84.9,19847.0,0.2569046,-0.04352832
Sandwell,E08000028,West Midlands,4.1,14.0,15360.0,0.25601512,-0.7121055
Moray,S12000020,Scotland,2.11,62.7,20014.0,0.25279123,-0.22528015
Bracknell Forest,E06000036,South East,3.14,40.3,25260.0,0.24992856,-0.35752258
Basingstoke and Deane,E07000084,South East,3.2,51.2,25738.0,0.24018727,-1.0553267
Halton,E06000006,North West,3.71,39.3,18878.0,0.23761451,-0.22410032
Peterborough,E06000031,East of England,24.12,33.6,18938.0,0.23616411,-0.14808117
North Devon,E07000043,South West,2.38,64.2,21191.0,0.23239669,-0.46296337
Newham,E09000025,London,6.59,58.5,22726.0,0.22620867,-0.038226258
Northumberland,E06000057,North East,2.57,67.9,21164.0,0.21732493,-0.25718647
Ipswich,E07000202,East of England,2.37,39.7,19095.0,0.21699946,-0.07108036
Perth & Kinross,S12000048,Scotland,3.18,98.1,23147.0,0.21568069,-0.03689222
Glasgow City,S12000049,Scotland,2.93,46.6,18881.0,0.21491131,-0.19660273
Preston,E07000123,North West,2.87,38.2,17404.0,0.21336782,-0.32005838
St Albans,E07000240,East of England,4.97,35.5,34990.0,0.21335883,4.118572
Rochdale,E08000005,North West,2.42,15.2,17108.0,0.21316977,-1.380737
Dudley,E08000027,West Midlands,2.11,15.5,17746.0,0.21118881,-0.9104464
Ceredigion,W06000008,Wales,1.99,67.2,18790.0,0.21068476,0.06756296
Dover,E07000108,South East,2.07,70.0,21732.0,0.20410791,-0.6606576
Test Valley,E07000093,South East,3.43,40.9,25943.0,0.20298281,-0.3772528
Isle of Anglesey,W06000001,Wales,1.77,79.5,19444.0,0.20037915,0.15258448
Dumfries & Galloway,S12000006,Scotland,1.84,85.0,20548.0,0.19910017,-0.4285931
Mid Sussex,E07000228,South East,3.67,43.4,28048.0,0.19804735,-1.0635409
Surrey Heath,E07000214,South East,4.71,41.5,30351.0,0.19699664,0.4571653
Blaby,E07000129,East Midlands,3.22,51.0,19665.0,0.18987143,0.45293805
North Warwickshire,E07000218,West Midlands,2.49,61.1,20465.0,0.18542303,-0.36388466
Oadby and Wigston,E07000135,East Midlands,2.47,69.8,19960.0,0.18496174,-0.09330875
Eastleigh,E07000086,South East,3.17,50.2,22494.0,0.18232179,-0.5953858
South Ribble,E07000126,North West,2.42,56.7,20235.0,0.16732922,-0.34932092
Isle of Wight,E06000046,South East,2.32,43.6,20788.0,0.16674751,-0.24104916
South Lanarkshire,S12000029,Scotland,2.68,56.7,20588.0,0.16479462,-0.1234321
Breckland,E07000143,East of England,2.15,39.6,20114.0,0.16376708,-0.48641855
Lincoln,E07000138,East Midlands,2.2,68.0,16639.0,0.14900644,-0.66657954
